Question,Answer
"Please explain any limitations when using materialized views (e.g., limits on masking).","Databricks’s implementation of Materialized Views are unique in that they offer the full expressivity of the SQL language. 

Materialized views must be deterministic. For example, using CURRENT_TIMESTAMP is not permitted Materialized views cannot be created using the Delta Lake time travel feature [1]

https://docs.databricks.com/sql/user/materialized-views.html#limitations"
"Does Databricks have document store capabilities (e.g., JSON, XML)? Is this supported as a native object, as a variant or translated to a relational form?","Yes, currently supported. It is supported as a native object and as a variant."
"Please describe the level of support for advanced document store features (e.g., indexing) including any limitations. Note if there are any special, efficient data storage formats used.","Databricks has the most extensive format support of any data warehousing platform. Databricks supports JSON as a native object and can similarly read/write XML and pretty much any other exotic format that customers might be using (e.g. RC and Protobuf) [1]. Databricks uses intelligent indexing based on access patterns and makes it extremely fast to retrieve parts of the JSON object. Further, with Databricks support for the Variant data type for storing semi-structured data. Processing JSON data as a variant is both fast and flexible (variant does not require a specific schema). With Variant, json data is stored in an efficient binary representation [2], which allows for ultra-fast look-ups. Variant query performance when compared to storing json as a string is 8x to 20x faster [3].
Databricks supports a number of connectors to document storage systems, like MongoDB, Azure Cosmos, and Couchbase. Databricks can read and write JSON and XML files from various storage systems, such as Azure Blob Storage, Azure Data Lake Storage, Amazon S3, and DBFS (Databricks File System). Databricks can also use Spark SQL to query JSON and XML data using SQL or DataFrame APIs. Additionally, Databricks can connect to external document store databases, such as MongoDB and Couchbase, using JDBC/ODBC drivers or Spark connectors [4].
[1] https://docs.databricks.com/en/query/formats/json.html#json-files
[2] https://github.com/apache/spark/blob/master/common/variant/README.md
[3] https://www.databricks.com/blog/introducing-open-variant-data-type-delta-lake-and-apache-spark
[4] https://docs.databricks.com/en/connect/external-systems/index.html#what-data-services-does-databricks-integrate-with"
How is data sharing implemented?,"Delta Sharing is an open source, platform-agnostic, and cross-cloud secure data sharing protocol. Delta Sharing enables secure sharing of structured data, unstructured volumes, notebooks, and AI models across clouds, regions, & platforms. Delta Sharing enables both Databricks-to-Databricks sharing, as well as Databricks-to-Open sharing, enabling customers to reach all of their partners regardless of whether they use Databricks or not. Databricks offers a managed Delta Sharing offering integrated with Unity Catalog, offering customers unified governance across internal data and shared data. Delta Sharing has an active ecosystem of organizations (e.g. Oracle) who implement the open source server independently of Databricks. With Delta Sharing, the data assets are shared ‘live’ with the recipient, eliminating the need for multiple copies. Recipients receive direct access to the provider’s underlying cloud storage, allowing for parallel, scalable, and secure access. This approach provides cost and performance advantages, with storage and transfer costs matching the underlying cloud object store. Providers can further optimize their costs by choosing storage platforms such as Cloudflare R2, which offers $0 egress cost for cross-cloud/region sharing. Using open connectors, data recipients can consume their shares in a number of tools, including Power BI, Tableau, Apache Spark, or Pandas, regardless of whether they use Databricks or not. Data providers use Delta Sharing in Databricks to share a wide range of Unity Catalog assets, including sharing structured data (e.g. Views) and AI assets (e.g. models, volumes). Expanding on this, we have announced that Delta Sharing will also offer the ability for customers to share data hosted in external data warehouses or databases (e.g. Snowflake, BigQuery, Redshift, MySQL, PostgreSQL, etc.), without the need to move the data into Databricks (aka Lakehouse Federation sharing) https://docs.databricks.com/en/data-sharing/index.html"
Does Databricks provide faceted search capability for semistructured or joined data?,"Yes, Mosaic AI Vector Search is a vector database that is built into the Databricks Data Intelligence Platform and fully integrated with its governance and productivity tools. With this functionality, customers can easily create a vector search index from any Delta table within the Databricks platform [1]. The index includes embedded data with metadata. Users can then query the index using the REST API to identify the most similar vectors and return the associated documents. The index is also addressable via Python or via SQL functions, making it possible to implement a RAG application with just SQL [2]. Customers can configure the index to automatically sync to changes to the underlying Delta table, allowing for transactional updates (given that Delta table updates are transactional in nature). Faceted search is supported through the filters API in the search interface [3]
Vector Search supports encrypting customer data with customer managed encryption keys. [1]
[1] https://docs.databricks.com/en/generative-ai/vector-search.html 
[2] https://docs.databricks.com/en/sql/language-manual/functions/vector_search.html 
[3] https://docs.databricks.com/en/generative-ai/create-query-vector-search.html#filters "
Does Databricks support times series processing?,"Yes. Databricks supports a comprehensive set of data formats, functions and libraries to easily store and efficiently process time series data"
Does Databricks support native geospatial data types? Which geospatial libraries are supported?,"Yes. Databricks supports Geospatial data types for storing geography and geometry data using text-based (WKT, GeoJSON), binary (WKB), or through user-defined types.
Support is extended through popular libraries such as Databricks Mosaic [1], GeoMesa [2], Apache Sedona, Spatial Toolbox for Databricks (from CARTO)[3], and GeoAnalytics Engine (from Esri)[4], and other popular libraries like Shapely[5] and JTS[6]. For raster data processing, RasterFrames[7], Raster.io, and GeoTrellis[8] are all commonly used for resampling, map algebra, and more. Databricks also includes native support for H3 discrete grid indexing and processing[9]. The H3 functions are the fastest known implementation.
[1] https://github.com/databrickslabs/mosaic
[2] https://databricks-prod-cloudfront.cloud.databricks.com/public/4027ec902e239c93eaaa8714f173bcfc/3908151684605202/2106702459770625/1881076997825604/latest.html
[3] https://databricks.com/blog/2021/12/09/announcing-cartos-spatial-extension-for-databricks-powering-geospatial-analysis-for-jll.html
[4] https://developers.arcgis.com/geoanalytics/install/azure_db/
[5] https://github.com/shapely/shapely
[6] https://github.com/locationtech/jts
[7]https://databricks.com/notebooks/rasterframes-notebook.html
[8]https://databricks.com/session/geotrellis-adding-geospatial-capabilities-to-spark
[9]https://www.databricks.com/blog/2023/01/12/supercharging-h3-geospatial-analytics.html"
How does Databricks offer parallelization for operations?,"Databricks supports parallelism for most operations including (a) Data parallelism (writing and reading), (b) Task parallelism, (c) Workload or Job parallelism. For each of these Databricks uses Serverless compute [1] and powerful AI algorithms to automatically set the right degree of parallelism to achieve the highest price/performance for a given workload (up to 12x better [8]), while also reducing the operational burden on customers to constantly tune parameters to achieve desired results. For customers who need customization or control, parameters are still available.
Task parallelism: Users can control the total number of cores/task-slots available for a given workload by configuring the size of the cluster, and this can be changed/resized dynamically while the workload is executing [2]. The default parallelism can be controlled on a per-query basis by changing the default number of shuffle partitions [3] Control the parallelism for a specific stage of a single query by using the repartition function in the DataFrame API[4] or SQL[5]. The system also dynamically adjusts the parallelism for a given stage based on the size of the actual data being processed using Adaptive Query Execution[6].
Autoscaling is available to change the number of available clusters depending on workload and overal number of workloads [7]
[1] https://docs.databricks.com/en/compute/serverless/index.html [2] https://docs.databricks.com/dev-tools/api/latest/clusters.html [3] https://spark.apache.org/docs/latest/sql-performance-tuning.html#other-configuration-options [4]https://spark.apache.org/docs/latest/api/python/reference/api/pyspark.sql.DataFrame.repartition.html [5]https://docs.databricks.com/spark/latest/spark-sql/language-manual/sql-ref-syntax-qry-select-hints.html#partitioning-hint-types
[6]https://databricks.com/blog/2020/10/21/faster-sql-adaptive-query-execution-in-databricks.htm [7]https://docs.databricks.com/sql/admin/warehouse-behavior.html#queueing-and-autoscaling [8] https://www.databricks.com/blog/announcing-general-availability-liquid-clustering"
Can parallelism be set regardless of data partitions or is parallel execution achieved by having workloads run against each partition?,"Yes, set regardless of partitions. Parallelism can be achieved without partitions. Multiple workloads can run against the same unpartitioned tables. Data and metadata are in the object storage layer, so there is no limit on number of parallel threads consuming that table [1]. Similarly for write workloads multiple parallel threads could be writing to the same table as long as there are no logical concurrency conflicts ie two parallel threads trying to update the same file at the same time. For such special workloads, customers use partitions to write to those tables concurrently to avoid concurrency conflicts [2]. [1]https://docs.delta.io/0.4.0/delta-concurrency.html
[2]https://docs.databricks.com/optimization"
"Does Databricks support an in-memory column store for analytic workloads? Is the in-memory column store updateable? If so, explain the granularity (e.g., minibatch, continuous).","Databricks supports in-memory column storage for tables[1] for both analytic and machine learning workloads. Databricks’ Spark engine also internally uses columnar in-memory data to enable SIMD optimizations like data striping for better cache and other performance advantages. NVMe SSD[2] can also be used.
Databricks partitions the in-memory store across multiple nodes in the cluster [3] including range, hash, and round-robin to deal with data skew. This results in the in-memory store being massively parallel and scaling transparently across the nodes in a compute cluster. It is not unusual for customers to run clusters with over 1000 nodes querying 5PB+ tables.
The in-memory columnar store is updateable at a mini-batch level. If the customer is using an NVMe SSD based column store, it can be updated continuously at per row level[4].
[1]https://spoddutur.github.io/spark-notes/deep_dive_into_storage_formats.html
[2]https://en.wikipedia.org/wiki/NVM_Express
[3]https://docs.databricks.com/delta/optimizations/delta-cache.html#delta-and-rdd-cache-comparison
[4]https://databricks.com/blog/2018/01/09/databricks-cache-boosts-apache-spark-performance.html"
